Alpha_Fp2,Alpha_Fz,Alpha_Fp1,Alpha_F3,Alpha_F7,Alpha_C3,Alpha_T7,Alpha_P3,Alpha_Pz,Alpha_O1,Alpha_Oz,Alpha_O2,Alpha_P4,Alpha_C4,Alpha_T8,Alpha_F8,Alpha_F4,Alpha_Cz,Beta_Fp2,Beta_Fz,Beta_Fp1,Beta_F3,Beta_F7,Beta_C3,Beta_T7,Beta_P3,Beta_Pz,Beta_O1,Beta_Oz,Beta_O2,Beta_P4,Beta_C4,Beta_T8,Beta_F8,Beta_F4,Beta_Cz,Theta_Fp2,Theta_Fz,Theta_Fp1,Theta_F3,Theta_F7,Theta_C3,Theta_T7,Theta_P3,Theta_Pz,Theta_O1,Theta_Oz,Theta_O2,Theta_P4,Theta_C4,Theta_T8,Theta_F8,Theta_F4,Theta_Cz
0.013682,0.0059399,0.022266,0.016465,0.012903,0.024204,0.016745,0.016987,0.015172,0.024873,0.025885,0.031883,0.020052,0.030677,0.013846,0.012267,0.0091944,0.015392,0.025698,0.0015365,0.058249,0.014152,0.006792,0.002403,0.0066295,0.0032322,0.0030916,0.0075288,0.0081925,0.012508,0.0038409,0.0025477,0.013901,0.0089874,0.0036875,0.0015307,0.021978,0.013216,0.034449,0.024085,0.031653,0.030567,0.033045,0.031577,0.037133,0.063887,0.085582,0.092624,0.033694,0.024985,0.027064,0.03017,0.017868,0.027489
0.044965,0.035204,0.057076,0.035974,0.035895,0.071683,0.036122,0.058379,0.059247,0.10668,0.08055,0.087879,0.057627,0.052039,0.045977,0.035462,0.043798,0.083533,0.076951,0.0093944,0.15034,0.036508,0.0064183,0.0051317,0.0082824,0.0058645,0.0063066,0.01257,0.0095747,0.010771,0.0045576,0.0034992,0.0060669,0.0054982,0.025811,0.0039939,0.093136,0.08786,0.1008,0.056084,0.07405,0.070653,0.054885,0.064653,0.095817,0.16065,0.14586,0.15785,0.060885,0.051803,0.067961,0.059723,0.074907,0.13998
0.029496,0.023668,0.021087,0.030356,0.023536,0.11301,0.03021,0.077463,0.045036,0.036982,0.035005,0.038014,0.04015,0.16051,0.029731,0.018856,0.041648,0.041917,0.060173,0.0053442,0.0089784,0.0075785,0.0063333,0.0060469,0.04532,0.0062489,0.0028805,0.010374,0.0069683,0.0096383,0.0052699,0.0083867,0.055389,0.0093429,0.016655,0.0030913,0.040963,0.04132,0.028649,0.04996,0.051346,0.064577,0.045253,0.05733,0.056157,0.07831,0.082024,0.084893,0.042354,0.084544,0.049802,0.046218,0.043475,0.079286
0.016885,0.017759,0.025884,0.030348,0.025539,0.070418,0.047468,0.033191,0.03282,0.091898,0.056401,0.072106,0.048929,0.051537,0.031798,0.022561,0.028907,0.024799,0.016611,0.0090612,0.049296,0.014208,0.021666,0.0070108,0.22041,0.0070738,0.0046722,0.013538,0.009026,0.013302,0.0073196,0.0083769,0.037939,0.017586,0.033365,0.003395,0.032956,0.037136,0.037285,0.050552,0.0459,0.051242,0.057302,0.052461,0.057517,0.23065,0.1696,0.19823,0.045803,0.046354,0.051582,0.046649,0.043945,0.066947
0.01472,0.022691,0.037995,0.046001,0.022517,0.066958,0.030143,0.051655,0.066408,0.077983,0.094924,0.07748,0.054918,0.041551,0.025349,0.021323,0.03497,0.042007,0.0023166,0.005648,0.018076,0.010795,0.0068707,0.0041062,0.0070871,0.0055957,0.0054616,0.0094239,0.012412,0.0099636,0.0058538,0.0034736,0.009816,0.0056702,0.010993,0.0034732,0.03365,0.045471,0.10865,0.081491,0.073371,0.08851,0.079416,0.10641,0.16046,0.19368,0.25081,0.19114,0.091678,0.054249,0.075311,0.057988,0.066202,0.085377
0.011151,0.0061814,0.010557,0.0092643,0.014541,0.020296,0.013565,0.021181,0.021001,0.034475,0.027967,0.030532,0.017093,0.022841,0.019874,0.010805,0.011706,0.012866,0.0056027,0.0022676,0.005729,0.0028272,0.0069962,0.0030687,0.011012,0.0044223,0.0027547,0.0089242,0.010758,0.014813,0.0041751,0.0031184,0.026249,0.0034639,0.0039404,0.0015204,0.031098,0.01825,0.029996,0.030078,0.0443,0.0397,0.027065,0.039366,0.049963,0.062474,0.049084,0.055105,0.040886,0.036361,0.036479,0.030308,0.024588,0.04701
0.049315,0.012171,0.040307,0.040215,0.030716,0.040436,0.036865,0.035459,0.060616,0.052,0.039656,0.039608,0.046628,0.036787,0.028977,0.026435,0.022691,0.10297,0.11739,0.0055478,0.078641,0.030672,0.013155,0.0047689,0.079391,0.0058155,0.0038657,0.012415,0.012998,0.013153,0.0057026,0.0076717,0.042467,0.011997,0.028178,0.0036087,0.047241,0.020949,0.043253,0.038455,0.042443,0.028806,0.039126,0.038216,0.051175,0.079881,0.064165,0.068763,0.033077,0.024515,0.033988,0.050558,0.024229,0.036475
0.021497,0.020721,0.0096016,0.027,0.023214,0.06525,0.024723,0.042836,0.04509,0.059351,0.0551,0.053197,0.029712,0.055922,0.02723,0.023636,0.038673,0.04907,0.018972,0.0059656,0.00199,0.0077094,0.0090063,0.0034819,0.007318,0.0047624,0.0031539,0.0071366,0.0063554,0.0071852,0.0040536,0.0034393,0.015373,0.0035195,0.021328,0.002749,0.041098,0.04972,0.020166,0.051873,0.062428,0.055137,0.05323,0.060742,0.066322,0.12443,0.14365,0.14328,0.053026,0.058208,0.060143,0.043577,0.062711,0.06805
0.022368,0.013507,0.0060473,0.017868,0.016612,0.021821,0.026075,0.019701,0.029565,0.026133,0.023831,0.027361,0.020844,0.023286,0.018774,0.015412,0.022297,0.056823,0.055647,0.0053459,0.0027716,0.0089407,0.0088515,0.0030487,0.048693,0.0031416,0.002413,0.0065057,0.0064053,0.0079814,0.0026563,0.0024104,0.015069,0.011722,0.016566,0.0017472,0.05145,0.040795,0.020075,0.052977,0.070657,0.040511,0.05957,0.049654,0.095493,0.084578,0.086585,0.098395,0.0546,0.045512,0.074907,0.057642,0.054515,0.13999
0.02497,0.012088,0.012159,0.012136,0.014918,0.021808,0.016912,0.024238,0.019463,0.047555,0.038841,0.047112,0.017164,0.012684,0.01367,0.016196,0.01784,0.016302,0.029901,0.0036573,0.010257,0.0054427,0.0085094,0.0024455,0.0035822,0.003003,0.002748,0.0066744,0.0050528,0.0069848,0.0029082,0.0018601,0.0032103,0.0059777,0.013568,0.0017839,0.06268,0.041214,0.032285,0.027559,0.040721,0.035851,0.036523,0.045486,0.058169,0.099253,0.11095,0.14058,0.033948,0.026601,0.031076,0.048925,0.04188,0.065104
0.027962,0.023119,0.01757,0.02944,0.027598,0.045182,0.034948,0.063094,0.089836,0.059722,0.05381,0.054659,0.037752,0.075342,0.031218,0.027186,0.029439,0.03982,0.021981,0.0035242,0.0093215,0.011153,0.0090322,0.0043131,0.02284,0.0043563,0.0033491,0.0056746,0.0048331,0.0054595,0.0040239,0.0042447,0.021267,0.014522,0.0092422,0.0020636,0.044798,0.04258,0.024684,0.051757,0.059202,0.040708,0.059909,0.057098,0.10117,0.10107,0.096778,0.099984,0.050254,0.051179,0.046566,0.05231,0.047032,0.076844
0.032635,0.022361,0.033989,0.035049,0.057287,0.066001,0.042134,0.040657,0.056826,0.047733,0.065792,0.067868,0.048241,0.0497,0.032162,0.024714,0.029201,0.050606,0.016809,0.0032272,0.02512,0.0082551,0.0074187,0.0047015,0.0058283,0.0044167,0.0079793,0.0051443,0.0062674,0.0065468,0.0042874,0.0036467,0.0039704,0.004113,0.0049257,0.0027096,0.11443,0.079573,0.11105,0.10548,0.2347,0.12356,0.19062,0.13046,0.14875,0.12838,0.15588,0.16114,0.13785,0.097446,0.14176,0.10328,0.1104,0.12714
0.020862,0.0078443,0.012531,0.011382,0.012908,0.0094266,0.011868,0.01398,0.028425,0.032214,0.03471,0.038752,0.014106,0.010296,0.014085,0.01226,0.013422,0.021823,0.032015,0.0036927,0.025353,0.0099887,0.0081755,0.0016151,0.0064787,0.0024368,0.0021003,0.0048111,0.004291,0.0044032,0.0022515,0.0017023,0.0091074,0.007828,0.011673,0.0010704,0.058606,0.023217,0.026876,0.028957,0.042913,0.024577,0.027845,0.033651,0.057994,0.078118,0.097273,0.11178,0.035238,0.028112,0.039982,0.04529,0.03334,0.04165
